fpar,par,tmin,vpd,smrz,ft,tsoil,smsf
0.645,8.929,290.846,1064.290,0.716,0.000,296.591,0.438
0.637,9.478,289.592,1102.517,0.714,0.000,295.880,0.438
0.637,9.728,289.572,1158.292,0.713,0.000,295.753,0.436
0.637,9.860,289.987,1115.423,0.705,0.000,296.039,0.413
0.637,10.011,288.790,1069.812,0.701,0.000,295.748,0.417
0.637,9.426,289.687,1081.519,0.697,0.000,295.814,0.417
0.637,9.231,288.841,1082.280,0.696,0.000,295.273,0.420
0.637,9.753,288.630,1128.470,0.692,0.000,295.292,0.410
0.625,8.834,289.150,1111.815,0.684,0.000,295.308,0.402
0.590,9.289,288.331,1119.657,0.682,0.000,294.904,0.410
0.590,8.990,288.105,1010.626,0.680,0.000,294.731,0.418
0.590,9.334,287.204,1006.153,0.682,0.000,294.272,0.417
0.590,8.287,288.637,1011.214,0.685,0.000,294.745,0.417
0.590,8.240,288.074,982.667,0.694,0.000,294.122,0.439
0.590,8.468,287.362,993.970,0.701,0.000,293.718,0.445
0.590,8.390,285.934,933.044,0.704,0.000,292.959,0.439
0.565,8.440,286.138,894.718,0.719,0.000,292.745,0.446
0.496,8.261,285.617,855.386,0.719,0.000,292.145,0.442
0.496,7.620,285.089,818.040,0.719,0.000,291.543,0.445
0.496,8.594,284.972,795.616,0.720,0.000,291.663,0.450
0.496,8.522,285.879,787.227,0.721,0.000,292.378,0.447
0.496,7.245,286.499,751.603,0.723,0.000,292.510,0.461
0.496,8.272,285.840,742.663,0.729,0.000,292.083,0.468
0.496,8.609,285.402,850.301,0.727,0.000,292.033,0.452
0.476,7.527,286.365,782.268,0.726,0.000,292.312,0.451
0.409,7.845,285.635,701.406,0.733,0.000,291.739,0.469
0.409,7.293,285.553,667.770,0.734,0.000,291.285,0.469
0.409,7.652,284.958,656.100,0.734,0.000,290.935,0.465
0.409,7.629,283.450,592.082,0.739,0.000,290.509,0.483
0.409,8.435,282.881,675.212,0.737,0.000,290.110,0.465
0.409,8.153,283.683,773.514,0.731,0.000,290.570,0.442
0.409,8.305,282.271,730.294,0.728,0.000,290.185,0.437
0.395,8.005,282.496,761.132,0.726,0.000,289.792,0.440
0.352,7.646,283.364,867.640,0.722,0.000,290.124,0.429
0.352,6.919,283.927,749.119,0.723,0.000,290.505,0.443
0.352,7.127,282.766,655.866,0.727,0.000,289.642,0.455
0.352,7.353,282.761,697.864,0.732,0.000,289.329,0.463
0.352,6.427,282.173,566.055,0.738,0.000,288.762,0.471
0.352,6.245,281.123,549.146,0.745,0.000,287.836,0.485
0.352,6.527,281.060,539.170,0.746,0.000,287.351,0.478
0.345,7.241,279.733,556.091,0.749,0.000,286.871,0.487
0.327,7.103,281.045,604.488,0.747,0.000,287.439,0.473
0.327,6.683,280.518,554.264,0.743,0.000,287.271,0.463
0.327,6.236,279.612,506.687,0.744,0.000,286.426,0.473
0.327,6.492,279.872,510.546,0.744,0.000,286.289,0.477
0.327,5.975,279.941,493.549,0.749,0.000,286.118,0.483
0.327,5.998,279.181,464.915,0.760,0.000,285.564,0.506
0.327,6.336,278.261,500.917,0.772,0.000,285.000,0.513
0.319,6.003,278.938,451.127,0.774,0.000,285.103,0.508
0.303,5.633,278.028,431.842,0.769,0.000,284.577,0.495
0.303,6.085,278.699,454.066,0.767,0.000,284.692,0.493
0.303,5.910,278.726,490.212,0.765,0.000,284.779,0.490
0.303,5.888,278.477,494.835,0.764,0.000,284.721,0.483
0.303,5.814,279.102,465.861,0.764,0.000,285.402,0.481
0.303,5.279,278.808,433.698,0.764,0.000,285.507,0.483
0.303,4.343,279.187,338.958,0.770,0.000,284.797,0.506
0.299,5.586,278.714,362.595,0.777,0.000,284.577,0.523
0.283,5.262,277.489,362.479,0.775,0.000,283.818,0.509
0.283,5.565,276.855,357.093,0.779,0.000,283.062,0.508
0.283,5.369,276.484,323.040,0.779,0.000,282.760,0.506
0.283,5.294,274.934,308.301,0.776,0.000,281.555,0.497
0.283,5.542,275.830,357.427,0.776,0.000,281.682,0.497
0.283,4.715,277.460,353.784,0.778,0.000,282.679,0.504
0.283,4.747,277.835,333.352,0.782,0.000,283.409,0.505
0.278,5.005,275.083,313.600,0.780,0.000,281.662,0.503
0.272,5.014,275.655,342.122,0.782,0.000,281.714,0.507
0.272,5.006,275.754,365.988,0.783,0.000,281.602,0.505
0.272,4.672,275.121,339.207,0.786,0.000,281.202,0.505
0.272,5.212,275.876,368.277,0.786,0.000,281.749,0.501
0.272,4.320,275.977,311.929,0.786,0.000,281.553,0.506
0.272,4.959,274.788,307.629,0.791,0.000,280.890,0.519
0.272,4.550,274.522,351.339,0.789,0.000,280.498,0.510
0.271,4.550,274.131,307.626,0.789,0.000,280.317,0.510
0.251,4.880,273.837,314.353,0.788,0.000,280.061,0.505
0.251,3.885,273.788,265.149,0.787,0.000,279.734,0.507
0.251,4.314,272.091,213.427,0.793,1.000,278.692,0.529
0.251,4.195,272.135,223.913,0.796,1.000,277.958,0.534
0.251,4.062,272.422,225.981,0.797,1.000,277.893,0.532
0.251,4.039,273.818,232.773,0.796,0.000,278.606,0.528
0.251,3.961,272.708,215.275,0.796,1.000,278.342,0.528
0.245,4.174,271.888,202.464,0.796,1.000,277.785,0.529
0.230,3.737,273.123,188.509,0.797,1.000,278.297,0.535
0.230,3.980,272.204,185.203,0.800,1.000,277.539,0.543
0.230,3.904,272.379,212.324,0.801,1.000,277.367,0.539
0.230,4.036,271.013,219.059,0.800,1.000,276.692,0.530
0.230,3.688,270.066,204.327,0.798,1.000,276.071,0.527
0.230,3.588,271.315,169.295,0.798,1.000,276.141,0.533
0.230,3.586,271.513,149.254,0.800,1.000,276.362,0.540
0.221,3.544,270.649,174.108,0.803,1.000,275.980,0.545
0.220,3.521,270.852,189.960,0.803,1.000,275.520,0.538
0.220,3.263,270.967,142.440,0.802,1.000,275.348,0.542
0.220,3.345,269.222,129.551,0.803,1.000,274.658,0.547
0.220,3.475,269.913,147.636,0.808,1.000,274.755,0.552
0.220,3.294,269.431,154.091,0.807,1.000,273.958,0.548
0.220,3.475,268.449,157.193,0.805,1.000,273.710,0.545
0.220,3.223,268.097,139.455,0.805,1.000,273.210,0.544
0.219,3.691,268.530,136.713,0.806,1.000,273.069,0.547
0.202,2.895,268.117,105.682,0.806,1.000,272.890,0.552
0.202,3.377,267.684,118.434,0.807,1.000,273.382,0.554
0.202,3.022,266.506,114.411,0.807,1.000,272.570,0.555
0.202,3.448,266.040,135.411,0.808,1.000,272.292,0.555
0.202,2.924,265.378,112.425,0.807,1.000,271.772,0.553
0.202,2.764,266.719,99.607,0.807,1.000,271.966,0.553
0.202,3.162,265.042,96.811,0.806,1.000,271.895,0.554
0.207,3.481,265.123,109.830,0.806,1.000,272.236,0.554
0.176,2.797,266.486,92.795,0.807,1.000,272.230,0.557
0.176,3.292,266.612,94.963,0.810,1.000,271.871,0.563
0.176,3.125,267.561,103.652,0.811,1.000,272.094,0.568
0.176,2.829,267.364,96.975,0.816,1.000,272.746,0.573
0.176,2.611,266.360,90.719,0.820,1.000,271.887,0.576
0.176,2.901,265.933,88.233,0.820,1.000,271.985,0.570
0.176,3.102,264.977,86.435,0.818,1.000,271.578,0.568
0.153,3.300,265.859,101.010,0.818,1.000,271.262,0.569
0.162,3.222,265.065,112.430,0.818,1.000,271.261,0.568
0.162,2.928,266.514,106.927,0.818,1.000,271.599,0.570
0.162,2.681,265.737,84.294,0.819,1.000,271.988,0.577
0.162,3.047,265.144,78.751,0.820,1.000,271.689,0.579
0.162,2.684,265.452,79.866,0.821,1.000,271.340,0.580
0.162,3.216,263.363,80.903,0.822,1.000,270.977,0.577
0.162,2.912,263.977,74.111,0.822,1.000,271.023,0.578
0.165,3.097,265.421,90.711,0.824,1.000,271.256,0.580
0.140,3.077,265.859,90.157,0.824,1.000,271.441,0.577
0.140,2.997,266.698,90.235,0.823,1.000,271.822,0.576
0.140,2.947,265.419,80.265,0.823,1.000,271.993,0.577
0.140,3.036,265.534,91.609,0.824,1.000,271.507,0.582
0.140,3.366,262.582,98.955,0.826,1.000,270.912,0.578
